Report Based on Repo
+-----------------------+---------------+----------------+-----------------+--------------+
|         NAME          | TOTALDOWNSIZE | TOTALDOWNLOADS | TOTALUPLOADSIZE | TOTALUPLOADS |
| generic-local-repo167 |           432 |              9 |             240 |           10 |
| generic-local-repo377 |           432 |              9 |             240 |           10 |
| generic-local-repo322 |           432 |              9 |             240 |           10 |
| generic-local-repo107 |           432 |              9 |             240 |           10 |
| generic-local-repo333 |           432 |              9 |             240 |           10 |
| generic-local-repo292 |           432 |              9 |             240 |           10 |
| generic-local-repo320 |           432 |              9 |             240 |           10 |
| generic-local-repo410 |           432 |              9 |             240 |           10 |
| generic-local-repo110 |           432 |              9 |             240 |           10 |
| generic-local-repo202 |           432 |              9 |             240 |           10 |
| generic-local-repo479 |           408 |              9 |             240 |           10 |
| generic-local-repo427 |           408 |              9 |             240 |           10 |
| generic-local-repo185 |           384 |              9 |             240 |           10 |
| generic-local-repo493 |           336 |              9 |             240 |           10 |
| generic-local-repo407 |           336 |              9 |             240 |           10 |
| generic-local-repo375 |           312 |              9 |             240 |           10 |
| generic-local-repo500 |           264 |              9 |             240 |           10 |
| generic-local-repo291 |           240 |              8 |             240 |           10 |
| generic-local-repo402 |           216 |              9 |             240 |           10 |
| generic-local-repo405 |           216 |              9 |             240 |           10 |
| generic-local-repo218 |           216 |              9 |             240 |           10 |
| generic-local-repo442 |           216 |              9 |             240 |           10 |
| generic-local-repo431 |           216 |              9 |             240 |           10 |
| generic-local-repo382 |           216 |              9 |             240 |           10 |
| generic-local-repo163 |           216 |              9 |             240 |           10 |
| generic-local-repo385 |           216 |              9 |             240 |           10 |
| generic-local-repo373 |           216 |              9 |             240 |           10 |
| generic-local-repo436 |           216 |              9 |             240 |           10 |
| generic-local-repo422 |           216 |              9 |             240 |           10 |
| generic-local-repo188 |           216 |              9 |             240 |           10 |
| generic-local-repo287 |             0 |              0 |             240 |           10 |
| generic-local-repo381 |             0 |              0 |             240 |           10 |
| generic-local-repo159 |             0 |              0 |             240 |           10 |
| generic-local-repo371 |             0 |              0 |             240 |           10 |
| generic-local-repo239 |             0 |              0 |             240 |           10 |
| generic-local-repo438 |             0 |              0 |             240 |           10 |
+-----------------------+---------------+----------------+-----------------+--------------+
Report Based on Users
+----------+---------------+----------------+-----------------+--------------+
|   NAME   | TOTALDOWNSIZE | TOTALDOWNLOADS | TOTALUPLOADSIZE | TOTALUPLOADS |
+----------+---------------+----------------+-----------------+--------------+
| Total    |        987726 |          31093 |         5844219 |       238409 |
| user47   |         34289 |           1119 |          186996 |         8164 |
| user20   |         14447 |            533 |          188680 |         7624 |
| user35   |         25431 |            908 |          176492 |         7420 |
| user50   |         29764 |            898 |          165200 |         6720 |
| user13   |         25053 |            840 |          168347 |         6882 |
| user10   |         20348 |            699 |          171824 |         7328 |
| user4    |         22947 |            784 |          165066 |         6702 |
| user37   |         11900 |            448 |          167360 |         6720 |
| user27   |         17144 |            573 |          158312 |         6680 |
| user8    |         19728 |            633 |          153760 |         6180 |
| user36   |         27363 |            834 |          145520 |         5840 |
| user33   |         17999 |            665 |          153736 |         6534 |
| user21   |         29136 |            880 |          137706 |         5994 |
| user16   |         23897 |            825 |          137152 |         5882 |
| user32   |         26382 |            867 |          133765 |         5420 |
| user14   |         29777 |           1052 |          125451 |         5274 |
| user48   |         22332 |            680 |          129325 |         5200 |
| user45   |         23867 |            813 |          126252 |         5084 |
| user3    |         15454 |            484 |          133767 |         5364 |
| user49   |         17477 |            552 |          131291 |         5290 |
| user34   |         11396 |            329 |          130294 |         5620 |
| user15   |          6850 |            267 |          134752 |         5760 |
| user9    |         41430 |           1047 |           93926 |         3822 |
| user7    |         16941 |            499 |          117502 |         4740 |
| user17   |         27121 |            818 |          105486 |         4310 |
| user24   |         16504 |            485 |          115840 |         4720 |
| user18   |         16776 |            473 |          115200 |         4720 |
| user5    |         29706 |            895 |           96920 |         3960 |
| user12   |         24894 |            737 |          101100 |         4060 |
| user29   |         19107 |            563 |          103042 |         4140 |
| user42   |         22885 |            652 |           98622 |         4020 |
| user31   |         14441 |            428 |          106582 |         4300 |
| user1    |         12899 |            387 |          106250 |         4320 |
| user26   |         13159 |            416 |          103840 |         4220 |
| user11   |         19922 |            582 |           96280 |         3880 |
| user46   |         24264 |            837 |           87680 |         3520 |
| user23   |         22198 |            739 |           87480 |         3530 |
| user28   |         22719 |            727 |           86622 |         3544 |
| user19   |         12525 |            459 |           88000 |         3520 |
| user22   |          4683 |            174 |           89600 |         3600 |
| user40   |         13479 |            443 |           80052 |         3284 |
| user44   |         10576 |            323 |           81600 |         3280 |
| user6    |         11822 |            322 |           77952 |         3168 |
| user43   |         16355 |            442 |           73340 |         2940 |
| user25   |         27360 |            732 |           60862 |         2500 |
| user41   |          5857 |            225 |           80680 |         3240 |
| user39   |         19404 |            545 |           61822 |         2500 |
| user30   |         15336 |            538 |           64089 |         2580 |
| user2    |         18485 |            477 |           52458 |         2108 |
| user38   |         13897 |            445 |           54200 |         2200 |
| testuser |             0 |              0 |           36144 |            1 |
+----------+---------------+----------------+-----------------+--------------+
